page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,1449,Hey Ya!,https://genius.com/Outkast-hey-ya-lyrics,/Outkast-hey-ya-lyrics,https://images.rapgenius.com/a1d33455ae324dd53f16ef9fb96bc803.1000x563x1.jpg,14,115,105,OutKast,https://genius.com/artists/Outkast,https://images.genius.com/ef006cf48ebfb4923b23d319fdeb1315.1000x1000x1.jpg
1,2862055,Hey Ya,https://genius.com/Kamauu-hey-ya-lyrics,/Kamauu-hey-ya-lyrics,https://images.genius.com/8cb191a6a375cf325fd8bcede5854cef.500x500x1.jpg,2,,642601,KAMAUU,https://genius.com/artists/Kamauu,https://images.genius.com/e7bf489c7c4d37859e69434f8080f837.627x627x1.jpg
1,2469408,Hey Ya,https://genius.com/Eden-hey-ya-annotated,/Eden-hey-ya-annotated,https://images.genius.com/d524a4382cf4d9ffbf57c9085e49c7ae.1000x1000x1.jpg,2,9,355608,EDEN,https://genius.com/artists/Eden,https://images.genius.com/239f4bca4e2794aef16a357f9c686541.960x960x1.jpg
1,1451104,Hey Ya!,https://genius.com/The-blanks-group-hey-ya-lyrics,/The-blanks-group-hey-ya-lyrics,https://images.genius.com/9fd793bd1ea4a959119cfc174f160a50.1000x563x1.jpg,0,,43933,The Blanks (group),https://genius.com/artists/The-blanks-group,https://images.genius.com/652697a1510118466dc9d6bb13d45b09.400x400x1.jpg
1,2892534,Hey Ya,https://genius.com/Sweater-beats-hey-ya-lyrics,/Sweater-beats-hey-ya-lyrics,https://images.genius.com/27ce193753ef7fdc04727d68ad9b9124.500x500x1.jpg,1,1,58879,Sweater Beats,https://genius.com/artists/Sweater-beats,https://images.genius.com/740918bb4736defa7e3d2eafaf45cb96.785x785x1.jpg
1,2488742,Hey Ya Ho,https://genius.com/The-lonely-island-hey-ya-ho-lyrics,/The-lonely-island-hey-ya-ho-lyrics,https://images.genius.com/6a2eba52e84e7953935fb4c456a29715.1000x1000x1.jpg,4,,940,The Lonely Island,https://genius.com/artists/The-lonely-island,https://images.genius.com/e28690aaa39fd06a536539fc71fa3df5.512x512x1.jpg
1,3321708,"Hey! Ya, You",https://genius.com/The-elwins-hey-ya-you-lyrics,/The-elwins-hey-ya-you-lyrics,https://images.genius.com/d0eee4ea47eeec1f8f356d58376618b0.800x800x1.jpg,0,1,332220,The Elwins,https://genius.com/artists/The-elwins,https://images.genius.com/293258ff63583398bcf89890b5fc1417.536x536x1.jpg
1,3098413,Hey Yah,https://genius.com/Got7-hey-yah-lyrics,/Got7-hey-yah-lyrics,https://images.genius.com/058c7e98a74a7eaa9887ba30791eedfb.1000x1000x1.png,0,,361002,GOT7,https://genius.com/artists/Got7,https://images.genius.com/d5e3bd7def8af410dbe730ca2226ee63.591x591x1.jpg
1,4025439,Hey Ya!,https://genius.com/Panic-at-the-disco-hey-ya-lyrics,/Panic-at-the-disco-hey-ya-lyrics,https://images.genius.com/0b93a92e165cb5775ef799882d79f1a8.640x640x1.jpg,1,1,50838,Panic! at the Disco,https://genius.com/artists/Panic-at-the-disco,https://images.genius.com/0c9c63cfdae0d165c1c81cbd4d14c7d4.544x544x1.jpg
1,19331,Hey Y’all,https://genius.com/Eve-hey-yall-lyrics,/Eve-hey-yall-lyrics,https://images.genius.com/3afd96796c373b6a41c53a82486b7e28.1000x1000x1.jpg,1,1,458,Eve,https://genius.com/artists/Eve,https://images.genius.com/a81eb20a79449c65bf95be8b2ec2e3e9.1000x1000x1.jpg
2,1958683,Hey Ya!,https://genius.com/Glee-cast-hey-ya-lyrics,/Glee-cast-hey-ya-lyrics,https://images.genius.com/d6ead4735392b2a5e40593988768e700.500x500x1.jpg,1,,275474,Glee Cast,https://genius.com/artists/Glee-cast,https://images.genius.com/acb2b6cc07b9ffa614cbae768d546e84.910x910x1.jpg
2,1811327,Hey Ya,https://genius.com/Scott-bradlees-postmodern-jukebox-hey-ya-lyrics,/Scott-bradlees-postmodern-jukebox-hey-ya-lyrics,https://images.genius.com/06165a133d52e7af1e43768d02830ce5.600x600x1.jpg,0,,523216,Scott Bradlee’s Postmodern Jukebox,https://genius.com/artists/Scott-bradlees-postmodern-jukebox,https://images.genius.com/2d424bf3c3c7a60294829949e341cf7f.900x900x1.jpg
2,739315,Hey Ya!,https://genius.com/Lorene-drive-hey-ya-lyrics,/Lorene-drive-hey-ya-lyrics,https://images.genius.com/45949ac8d697e14b53b9b199d063c117.1000x1000x1.jpg,1,,84500,Lorene Drive,https://genius.com/artists/Lorene-drive,https://images.genius.com/f4e77fe8e02dd6b36a9f5e88372d0183.500x500x1.jpg
2,8184,Hey Y’all,https://genius.com/Anybody-killa-hey-yall-lyrics,/Anybody-killa-hey-yall-lyrics,https://images.genius.com/e8235b7763da2f99c14011dff35a2d0f.400x400x1.jpg,7,,3145,Anybody Killa,https://genius.com/artists/Anybody-killa,https://images.genius.com/3faa1d9207ef1e4b8a79c47ea94ea35e.500x500x1.jpg
2,3080883,Hey Ya,https://genius.com/Hash-tag-hey-ya-lyrics,/Hash-tag-hey-ya-lyrics,https://images.rapgenius.com/774f9cc1904d1796c229326f5c92d7be.760x760x1.jpg,0,,328602,HASH TAG,https://genius.com/artists/Hash-tag,https://images.genius.com/b78b6eee22b66eb74009f8f6a487848b.853x853x1.jpg
2,4562029,Hey ? Yah !,https://genius.com/Eden-dillinger-hey-yah-lyrics,/Eden-dillinger-hey-yah-lyrics,https://images.genius.com/91cff7ac74d282e2c745db0cb80e951b.600x600x1.jpg,1,,338781,​eden dillinger,https://genius.com/artists/Eden-dillinger,https://images.genius.com/cfff262fc6f45da35e80cc52949e6087.487x487x1.jpg
2,1425003,Hey Ya,https://genius.com/Obadiah-parker-hey-ya-lyrics,/Obadiah-parker-hey-ya-lyrics,https://assets.genius.com/images/default_cover_image.png?1602794602,1,,355685,Obadiah Parker,https://genius.com/artists/Obadiah-parker,https://assets.genius.com/images/default_avatar_300.png?1602794602
2,43898,Hey Ya,https://genius.com/Strings-hey-ya-lyrics,/Strings-hey-ya-lyrics,https://images.genius.com/d62e6fcd0d15996055f526250ca30a6c.600x595x1.jpg,1,1,7040,Strings,https://genius.com/artists/Strings,https://images.genius.com/3b12454acf858b50287871b42361e4ad.348x348x1.png
2,2229423,Hey Ya!,https://genius.com/Kidz-bop-kids-hey-ya-lyrics,/Kidz-bop-kids-hey-ya-lyrics,https://images.genius.com/b37ffa551b6fc5803bc645e51e7752bc.1000x1000x1.jpg,1,,353676,KIDZ BOP Kids,https://genius.com/artists/Kidz-bop-kids,https://images.genius.com/2f3f1262beaa02fddb8349628ea9fe6f.399x399x1.jpg
