page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
15,4872801,Death March,https://genius.com/J-nanks-death-march-lyrics,/J-nanks-death-march-lyrics,https://images.genius.com/255caaf486e2ad873195b91145f007a7.1000x1000x1.png,0,1,1566136,J Nanks,https://genius.com/artists/J-nanks,https://images.genius.com/d102f00a347e83668d3fe6068ecc92e0.500x500x1.jpg
15,3416785,Jaz The Rapper vs E-Hart,https://genius.com/Urltv-jaz-the-rapper-vs-e-hart-lyrics,/Urltv-jaz-the-rapper-vs-e-hart-lyrics,https://images.genius.com/cd083535d40ba0bc0619cc99f4605bee.480x360x1.jpg,0,,52179,URLtv,https://genius.com/artists/Urltv,https://images.genius.com/22d1af0c26c626cd5bc86d48bea31c50.400x400x1.jpg
15,3214395,Bleeding Sun,https://genius.com/Aviators-bleeding-sun-lyrics,/Aviators-bleeding-sun-lyrics,https://images.genius.com/00d9407f17d16e1308c3d744a4614ec8.1000x1000x1.jpg,18,,149803,Aviators,https://genius.com/artists/Aviators,https://images.genius.com/67527d6d0ded745d5ae98f8e7b5843ca.400x400x1.jpg
15,2056229,La tristitude des internautes,https://genius.com/Oldelaf-la-tristitude-des-internautes-lyrics,/Oldelaf-la-tristitude-des-internautes-lyrics,https://images.genius.com/88dfd9832f84862e540cd97ac12dbd24.400x400x1.jpg,3,,151989,Oldelaf,https://genius.com/artists/Oldelaf,https://images.genius.com/c10883907ab852dde374340933c442ec.562x456x1.jpg
15,864138,It Just Won’t Quit,https://genius.com/Meat-loaf-it-just-wont-quit-lyrics,/Meat-loaf-it-just-wont-quit-lyrics,https://images.genius.com/07c015353eb4f7e957b86458e8ec491f.647x647x1.jpg,1,,39962,Meat Loaf,https://genius.com/artists/Meat-loaf,https://images.genius.com/3e8b80813f6539744690b0c168cfa254.1000x680x1.jpg
15,431554,So Sharp,https://genius.com/Mack-10-so-sharp-lyrics,/Mack-10-so-sharp-lyrics,https://images.genius.com/78ce9ff97efeb74e9a44a7deabf49fd0.1000x1000x1.jpg,2,,1880,Mack 10,https://genius.com/artists/Mack-10,https://s3.amazonaws.com/rapgenius/1368457732_77476E77A10496D1F7CAD8DC2CBA9F72.jpg
15,4491297,Creator Made an Animal,https://genius.com/Snotty-nose-rez-kids-creator-made-an-animal-lyrics,/Snotty-nose-rez-kids-creator-made-an-animal-lyrics,https://images.genius.com/a7399f66104aee711d4bc44d01842dbc.745x745x1.jpg,3,,1165335,Snotty Nose Rez Kids,https://genius.com/artists/Snotty-nose-rez-kids,https://images.genius.com/f33502b310d2a66afa52e77ec88e38ec.1000x1000x1.jpg
15,950409,The Room at the Top of the Stairs,https://genius.com/Eddie-rabbitt-the-room-at-the-top-of-the-stairs-lyrics,/Eddie-rabbitt-the-room-at-the-top-of-the-stairs-lyrics,https://images.genius.com/7813875e4ffccaec9e628fe4cc9217b3.640x640x1.jpg,1,,332512,Eddie Rabbitt,https://genius.com/artists/Eddie-rabbitt,https://images.genius.com/8db3d462dc52f4686ca3e2a29d763770.264x350x1.jpg
16,4256559,​happysad,https://genius.com/Goldn-happysad-lyrics,/Goldn-happysad-lyrics,https://images.genius.com/b89a4974f6167e1a1a8e77c1a6cbb402.1000x1000x1.jpg,0,,543040,GOLDN,https://genius.com/artists/Goldn,https://images.genius.com/77dde3736e4547bad26092cbc6616924.400x400x1.jpg
16,1054933,Forever Young,https://genius.com/Glee-cast-forever-young-lyrics,/Glee-cast-forever-young-lyrics,https://images.genius.com/edd659aa89ede94087d1c7c2fece533b.1000x1000x1.png,1,,275474,Glee Cast,https://genius.com/artists/Glee-cast,https://images.genius.com/acb2b6cc07b9ffa614cbae768d546e84.910x910x1.jpg
16,2915636,Bonus 1 (KXNG),https://genius.com/Kxng-crooked-bonus-1-kxng-lyrics,/Kxng-crooked-bonus-1-kxng-lyrics,https://images.genius.com/e0b8cf61f3fab340e3b47810e0c9e516.960x960x1.jpg,1,,484,KXNG Crooked,https://genius.com/artists/Kxng-crooked,https://images.genius.com/95ef03a3fbbbe4a5ad5015fafb6689dc.1000x1000x1.jpg
16,473455,Halo,https://genius.com/Hieroglyphics-halo-lyrics,/Hieroglyphics-halo-lyrics,https://images.genius.com/df7ad7570fe1d0d4da67b927a8b1231f.600x600x1.jpg,0,1,1089,Hieroglyphics,https://genius.com/artists/Hieroglyphics,https://s3.amazonaws.com/rapgenius/1364407490_Hieroglyphics.jpg
16,3396231,M.O.F.B.,https://genius.com/Yowda-and-mozzy-mofb-lyrics,/Yowda-and-mozzy-mofb-lyrics,https://images.genius.com/ebf8f7b2cb9b14881f3d66911cd2dea2.500x500x1.jpg,0,,1299682,Yowda & Mozzy,https://genius.com/artists/Yowda-and-mozzy,https://images.genius.com/ede0461a02a3b7a99c89b2f4ecb7340d.599x599x1.jpg
16,4844292,The Reality,https://genius.com/Kaan-the-reality-lyrics,/Kaan-the-reality-lyrics,https://images.genius.com/ab06fa058e6a40e16a762e584f6c95aa.690x690x1.png,2,,52318,K.A.A.N.,https://genius.com/artists/Kaan,https://images.genius.com/f1044b69e4a7358f999ef8a9f7c4c6ef.300x300x1.jpg
16,2893938,KXNG,https://genius.com/Kxng-crooked-kxng-lyrics,/Kxng-crooked-kxng-lyrics,https://images.genius.com/332f278cb449dfeef2f6f2684e1dc5e3.1000x1000x1.jpg,0,,484,KXNG Crooked,https://genius.com/artists/Kxng-crooked,https://images.genius.com/95ef03a3fbbbe4a5ad5015fafb6689dc.1000x1000x1.jpg
